Features,Model,MSE,R²
"Density,VF,PV,LCD",SK_RF,0.04484807707449978,0.9965345004812368
"Density,VF,PV,LCD",XG_RF,0.06824271720924652,0.9947267504188667
"Density,VF,PV,LCD",SK_GB,0.041960252007262396,0.9967576484294567
"Density,VF,PV,LCD",SK_LR,0.8224928983039486,0.936444348806224
"Density,VF,PV,PLD",SK_RF,0.05797973476034032,0.9955197913485521
"Density,VF,PV,PLD",XG_RF,0.08366004949802193,0.9935354226939654
"Density,VF,PV,PLD",SK_GB,0.05194613069356589,0.9959860198549623
"Density,VF,PV,PLD",SK_LR,0.8776872639093389,0.9321793711322386
"Density,VF,LCD,PLD",SK_RF,0.044654687219104615,0.9965494440974301
"Density,VF,LCD,PLD",XG_RF,0.07582608021803655,0.9941407689772563
"Density,VF,LCD,PLD",SK_GB,0.046457609962415755,0.9964101286951457
"Density,VF,LCD,PLD",SK_LR,2.4297923161710044,0.8122451473583258
"Density,PV,LCD,PLD",SK_RF,0.040884653455675456,0.9968407620545229
"Density,PV,LCD,PLD",XG_RF,0.10325272523817955,0.9920214579316411
"Density,PV,LCD,PLD",SK_GB,0.04609073345424481,0.9964384779677444
"Density,PV,LCD,PLD",SK_LR,0.8997979069927186,0.930470838058731
"GSA,VSA,VF,PV",SK_RF,0.05303997414352838,0.9959014964105535
"GSA,VSA,VF,PV",XG_RF,0.06144702576328862,0.9952518669226693
"GSA,VSA,VF,PV",SK_GB,0.04762021188649331,0.9963202921476008
"GSA,VSA,VF,PV",SK_LR,0.25486094349241206,0.9803063913853581
"GSA,VSA,VF,LCD",SK_RF,0.050022443627421226,0.9961346669550576
